player_id;short_name;long_name;player_positions;overall;age;height_cm;weight_kg;league_name;club_name;club_position;nationality_name
41;Iniesta;Andrés Iniesta Luján;CAM, CM;79;37;171;68;J-League;Vissel Kobe;CAM;Spain
1179;G. Buffon;Gianluigi Buffon;GK;78;44;192;92;Serie B;Parma;GK;Italy
2147;M. Stekelenburg;Maarten Stekelenburg;GK;73;39;197;92;Eredivisie;Ajax;SUB;Netherlands
2702;K. Ellison;Kevin Keith Ellison;ST, LW;59;42;185;76;League Two;Newport County;RES;England
3467;Yuri;Yuri de Souza Fonseca;ST, CAM;70;39;186;78;La Liga 2;Ponferradina;CAM;Brazil
10899;C. Porter;Christopher John Porter;ST;62;37;185;83;League One;Crewe Alexandra;SUB;England
11381;M. Gilks;Matt Gilks;GK;59;39;185;81;League One;Bolton Wanderers;RES;Scotland
18115;Rúben Fernandes;Rúben Miguel Marques dos Santos Fernandes;CB;71;36;187;81;Liga Portugal;Gil Vicente;LCB;Portugal
18122;N. Penneteau;Nicolas Penneteau;GK;67;41;185;78;Ligue 1;Reims;RES;France
19541;G. Morris;Glenn James Morris;GK;62;38;183;70;League Two;Crawley Town;RES;England
20775;Quaresma;Ricardo Andrade Quaresma Bernardo;RW;76;37;175;68;Liga Portugal;Vitória SC;SUB;Portugal
20801;Cristiano Ronaldo;Cristiano Ronaldo dos Santos Aveiro;ST;88;37;187;83;Pro League;Al Nassr;ST;Portugal
23823;A. Johansson;Karl Tommy Andreas Johansson;CB;65;39;184;78;Allsvenskan;Halmstad;RCB;Sweden
24630;Pepe Reina;José Manuel Reina Páez;GK;77;39;188;92;La Liga;Villarreal;GK;Spain
25798;R. Santa Cruz;Roque Luis Santa Cruz Cantero;ST;71;40;191;93;Primera División;Libertad;RS;Paraguay
29118;S. Ono;小野 伸二;CAM, CM;57;41;175;76;J-League;Consadole Sapporo;RES;Japan
29552;S. Nakamura;中村 俊輔;CAM, CF, RW;63;43;178;71;J-League;Yokohama;SUB;Japan
41236;Z. Ibrahimović;Zlatan Ibrahimović;ST;82;40;195;102;Serie A;Milan;RES;Sweden
45186;Joaquín;Joaquín Sánchez Rodríguez;RM, LM, CAM;79;40;179;75;La Liga;Real Betis;SUB;Spain
49000;A. McGregor;Allan James McGregor;GK;74;40;183;74;Premiership;Rangers;GK;Scotland
49486;B. Ogbeche;Bartholomew Owogbalor Ogbeche;ST, CAM;70;37;179;82;Super League;Hyderabad;CAM;Nigeria
50632;P. Clarke;Peter Michael Clarke;CB;63;40;183;83;League Two;Walsall;SUB;England
52326;E. Jakupović;Eldin Jakupović;GK;63;37;191;85;Premier League;Everton;RES;Switzerland
